x-axis,1,2
second,Volt,Volt
-100.000E-03,+3.618090E+00,-964.824E-03
-99.900E-03,+3.738693E+00,-804.020E-03
-99.800E-03,+3.698492E+00,-718.593E-03
-99.700E-03,+3.698492E+00,-643.216E-03
-99.600E-03,+3.698492E+00,-562.814E-03
-99.500E-03,+3.698492E+00,-482.412E-03
-99.400E-03,+3.698492E+00,-402.010E-03
-99.300E-03,+3.698492E+00,-321.608E-03
-99.200E-03,+3.773869E+00,-236.181E-03
-99.100E-03,+3.698492E+00,-160.804E-03
-99.000E-03,+3.773869E+00,-80.402E-03
-98.900E-03,+3.733668E+00,+0.0E+00
-98.800E-03,+3.698492E+00,+80.402E-03
-98.700E-03,+3.698492E+00,+160.804E-03
-98.600E-03,+3.698492E+00,+241.206E-03
-98.500E-03,+3.698492E+00,+321.608E-03
-98.400E-03,+3.773869E+00,+402.010E-03
-98.300E-03,+3.738693E+00,+437.186E-03
-98.200E-03,+3.698492E+00,+482.412E-03
-98.100E-03,+3.778894E+00,+603.015E-03
-98.000E-03,+3.773869E+00,+643.216E-03
-97.900E-03,+3.733668E+00,+723.618E-03
-97.800E-03,+3.773869E+00,+804.020E-03
-97.700E-03,+3.738693E+00,+804.020E-03
-97.600E-03,+3.698492E+00,+884.422E-03
-97.500E-03,+3.698492E+00,+964.824E-03
-97.400E-03,+3.698492E+00,+964.824E-03
-97.300E-03,+3.733668E+00,+1.045226E+00
-97.200E-03,+3.778894E+00,+1.125628E+00
-97.100E-03,+3.738693E+00,+1.206030E+00
-97.000E-03,+3.778894E+00,+1.206030E+00
-96.900E-03,+3.738693E+00,+1.286432E+00
-96.800E-03,+3.698492E+00,+1.366834E+00
-96.700E-03,+3.698492E+00,+1.447236E+00
-96.600E-03,+3.778894E+00,+1.447236E+00
-96.500E-03,+3.733668E+00,+1.482412E+00
-96.400E-03,+3.778894E+00,+1.527638E+00
-96.300E-03,+3.698492E+00,+1.608040E+00
-96.200E-03,+3.773869E+00,+1.608040E+00
-96.100E-03,+3.778894E+00,+1.643216E+00
-96.000E-03,+3.773869E+00,+1.688442E+00
-95.900E-03,+3.738693E+00,+1.804020E+00
-95.800E-03,+3.698492E+00,+1.768844E+00
-95.700E-03,+3.733668E+00,+1.804020E+00
-95.600E-03,+3.778894E+00,+1.849246E+00
-95.500E-03,+3.698492E+00,+1.929648E+00
-95.400E-03,+3.698492E+00,+2.005025E+00
-95.300E-03,+3.698492E+00,+2.010050E+00
-95.200E-03,+3.698492E+00,+2.010050E+00
-95.100E-03,+3.698492E+00,+2.090452E+00
