"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)";"Absolute (rad/s)"
6.777206250E-1;-1.201851480E-2;3.849747591E-3;-1.893517375E-1;1.897718255E-1
6.877086250E-1;-2.446453087E-2;-4.475294147E-3;-2.030454427E-1;2.045629324E-1
6.976966250E-1;-3.201267496E-2;-1.409660093E-3;-2.208313346E-1;2.231440719E-1
7.076846250E-1;-2.893645689E-2;-2.780921757E-3;-2.437816560E-1;2.455087532E-1
7.176736250E-1;-4.563078657E-2;-8.848471567E-3;-2.594252229E-1;2.635562756E-1
7.276616250E-1;-4.274844378E-2;-5.371315032E-2;-2.677955627E-1;2.764543279E-1
7.376496250E-1;-4.633456841E-2;4.728467390E-2;-2.898988128E-1;2.973618238E-1
7.476376250E-1;-2.827753872E-2;-1.948104054E-2;-2.981207967E-1;3.000918852E-1
7.576266250E-1;-1.101242378E-2;1.175348274E-2;-3.092612624E-1;3.096803937E-1
7.676146250E-1;2.165163867E-3;-1.362883858E-2;-3.112144172E-1;3.115202187E-1
7.776026250E-1;1.817177236E-2;1.845581457E-3;-3.220717311E-1;3.225892426E-1
7.875906250E-1;2.426375262E-2;-6.961225532E-3;-3.278377652E-1;3.288081335E-1
7.975786250E-1;1.516575553E-2;1.270166971E-2;-3.403472006E-1;3.409216179E-1
8.075676250E-1;6.510410458E-6;5.663982779E-2;-3.425523043E-1;3.472033285E-1
8.175556250E-1;-4.366319627E-5;-4.528054222E-2;-3.529735804E-1;3.558660954E-1
8.275436250E-1;-1.061055437E-2;3.170771524E-2;-3.671501279E-1;3.686694719E-1
8.375316250E-1;-1.095303521E-2;-1.154464856E-2;-3.712846637E-1;3.716255499E-1
8.475206250E-1;-8.290939033E-3;1.472210884E-2;-3.790656328E-1;3.794420037E-1
8.575086250E-1;-6.700879894E-4;-4.797977395E-3;-3.800935149E-1;3.801243871E-1
8.674966250E-1;1.301509794E-2;2.013323829E-3;-3.831771910E-1;3.834034506E-1
8.774846250E-1;2.703344449E-2;-1.017916016E-2;-3.744023144E-1;3.755150003E-1
8.874736250E-1;3.340825438E-2;-9.267560206E-3;-3.754516244E-1;3.770489642E-1
8.974616250E-1;4.032708704E-2;-2.111314051E-2;-3.694476783E-1;3.722413541E-1
9.074496250E-1;3.309660405E-2;7.128616795E-3;-3.746823967E-1;3.762088525E-1
9.174376250E-1;3.349043429E-2;-1.893561892E-2;-3.620029688E-1;3.640416408E-1
9.274256250E-1;4.604191519E-3;7.960710675E-3;-3.573704064E-1;3.574887115E-1
9.374146250E-1;-1.014333032E-2;-7.579556666E-3;-3.491719961E-1;3.494015165E-1
9.474026250E-1;-1.605421677E-2;-2.801845782E-3;-3.371382654E-1;3.375319217E-1
9.573906250E-1;-2.437898889E-2;9.888497181E-3;-3.263681531E-1;3.274267687E-1
9.673786250E-1;-1.925240271E-2;-4.963153508E-3;-3.055411875E-1;3.061873694E-1
9.773676250E-1;-1.337816566E-2;3.035215661E-3;-2.929356992E-1;2.932567335E-1
9.873556250E-1;-4.036062397E-3;-5.208333023E-3;-2.795253396E-1;2.796029900E-1
9.973436250E-1;2.869836055E-3;-5.529100075E-3;-2.577192485E-1;2.577945267E-1
1.007331625E0;1.048233826E-3;-6.365599111E-3;-2.366371155E-1;2.367250390E-1
1.017320625E0;-5.375579465E-3;-1.178444363E-3;-2.262910008E-1;2.263579083E-1
1.027308625E0;-1.175864413E-2;-5.233373027E-3;-2.109320164E-1;2.113243229E-1
1.037296625E0;-2.871887758E-2;3.509846516E-3;-1.961965561E-1;1.983183844E-1
1.047284625E0;-3.540634364E-2;-2.420481294E-3;-1.718789786E-1;1.755045617E-1
1.057273625E0;-4.205897078E-2;5.673936568E-3;-1.585436165E-1;1.641256498E-1
1.067261625E0;-4.363662750E-2;-4.721069708E-4;-1.467231810E-1;1.530753736E-1
1.077249625E0;-3.412135690E-2;4.663754255E-3;-1.323052049E-1;1.367138795E-1
1.087237625E0;-2.400800027E-2;-1.826636493E-3;-1.135890409E-1;1.161128369E-1
1.097225625E0;-1.072970498E-2;3.719504923E-3;-9.683533013E-2;9.749893562E-2
1.107214625E0;-5.035333801E-3;-8.955011144E-3;-9.050819278E-2;9.108940537E-2
1.117202458E0;-2.881209599E-3;-2.245314419E-3;-7.385630161E-2;7.394657593E-2
1.127190458E0;-6.864499766E-3;-6.624883041E-3;-5.769810081E-2;5.848146090E-2
1.137178458E0;-1.547071617E-2;-4.540434573E-3;-4.674968868E-2;4.945191601E-2
1.147167458E0;-2.177734859E-2;1.939035952E-3;-3.892691806E-2;4.464658690E-2
1.157155458E0;-2.833335474E-2;7.584318519E-4;-2.346585877E-2;3.679674901E-2
1.167143458E0;-2.944948524E-2;2.956072800E-3;-5.051963497E-3;3.002553717E-2
1.177131458E0;-3.726884723E-2;9.419497102E-3;1.799340919E-2;4.244357046E-2
1.187120458E0;-2.785164304E-2;1.514435746E-3;3.522406146E-2;4.493041332E-2
1.197108458E0;-1.613554731E-2;-2.834016457E-3;6.429476291E-2;6.634910756E-2
1.207096458E0;-8.837155066E-3;-8.250886574E-3;9.820132703E-2;9.894277674E-2
1.217084458E0;1.117916312E-2;-1.490758732E-3;1.366825402E-1;1.371470482E-1
1.227072458E0;1.965360716E-2;-3.283563256E-2;1.928014606E-1;1.965625759E-1
1.237061458E0;3.035498783E-2;3.125831485E-3;2.845292687E-1;2.861609702E-1
1.247049458E0;4.550997168E-2;-2.993172035E-2;3.283371925E-1;3.328248449E-1
1.257037458E0;4.751650244E-2;3.645323217E-3;4.287132621E-1;4.313538773E-1
1.267025458E0;6.370080262E-2;1.727048308E-3;4.905220270E-1;4.946439466E-1
1.277014458E0;4.943840206E-2;1.004623249E-3;5.844041109E-1;5.864923953E-1
1.287002458E0;4.803491384E-2;2.717217430E-4;6.583630443E-1;6.601131152E-1
1.296990458E0;5.866481364E-2;-2.339877933E-2;7.395799160E-1;7.422718608E-1
1.306978458E0;5.263755471E-2;1.487617008E-2;8.174659610E-1;8.192939704E-1
1.316967458E0;4.957406223E-2;-1.792860031E-2;8.803519607E-1;8.819289070E-1
1.326955458E0;3.593814746E-2;1.399311330E-2;9.589170218E-1;9.596922487E-1
1.336943458E0;4.144231603E-2;-1.776180230E-3;1.018933535E0;1.019777509E0
1.346931458E0;3.278730810E-2;2.832422033E-4;1.096211791E0;1.096702046E0
1.356919458E0;3.294581920E-2;9.569336660E-3;1.161110640E0;1.161617371E0
1.366908458E0;3.476795182E-2;-4.392818082E-3;1.230507493E0;1.231006417E0
1.376896458E0;3.371685743E-2;-2.159308642E-3;1.290932298E0;1.291374340E0
1.386884458E0;4.006503522E-2;-1.229865476E-3;1.352004766E0;1.352598835E0
1.396872458E0;3.114786558E-2;-3.118565306E-3;1.410321832E0;1.410669197E0
1.406861458E0;4.497845471E-2;-3.419236280E-3;1.460832834E0;1.461529104E0
1.416849458E0;5.050490797E-2;-4.694868345E-3;1.507083178E0;1.507936501E0
1.426837458E0;5.999428034E-2;-1.372111961E-2;1.551393628E0;1.552613852E0
1.436825458E0;6.104791909E-2;3.126023337E-3;1.604273319E0;1.605437480E0
1.446814458E0;6.897535175E-2;3.098326735E-3;1.641256094E0;1.642707754E0
1.456802458E0;7.930874079E-2;-4.495761357E-3;1.675621748E0;1.677503601E0
1.466790458E0;8.226457983E-2;5.230902694E-3;1.710222363E0;1.712207743E0
1.476778458E0;8.671663702E-2;4.518535919E-3;1.749629736E0;1.751783207E0
1.486767458E0;9.512344003E-2;2.807188779E-3;1.772545218E0;1.775097997E0
1.496755458E0;9.945773333E-2;1.791127026E-2;1.793098211E0;1.795943721E0
1.506743458E0;1.072067320E-1;5.059120245E-3;1.816690922E0;1.819858451E0
1.516731458E0;1.038802415E-1;7.528051734E-3;1.835005999E0;1.837959410E0
1.526719458E0;1.044006199E-1;3.184969537E-3;1.845171809E0;1.848125710E0
1.536708458E0;1.091021746E-1;2.186643332E-2;1.851499438E0;1.854840046E0
1.546696458E0;9.517836571E-2;6.781758741E-3;1.861125588E0;1.863570060E0
1.556684458E0;9.924499691E-2;4.443199374E-3;1.865887165E0;1.868529963E0
1.566672458E0;8.738141507E-2;8.573569357E-5;1.858574390E0;1.860627390E0
1.576661458E0;8.967285603E-2;7.902789861E-3;1.851813793E0;1.854000539E0
1.586649458E0;7.707636803E-2;2.774873748E-3;1.847852349E0;1.849461211E0
1.596637458E0;7.455238700E-2;2.642035484E-3;1.838073969E0;1.839587169E0
1.606625458E0;6.438736618E-2;3.978942521E-3;1.815721273E0;1.816866893E0
1.616614458E0;6.120238081E-2;8.473765105E-3;1.790156126E0;1.791222067E0
1.626602458E0;5.751097575E-2;8.187750354E-4;1.773243666E0;1.774176226E0
1.636590458E0;5.716487393E-2;-1.867949776E-2;1.746567488E0;1.747602568E0
1.646578458E0;5.317652598E-2;-6.615645252E-3;1.712328792E0;1.713167067E0
1.656566458E0;5.062580109E-2;1.618610322E-2;1.675037742E0;1.675880783E0
1.666555458E0;5.544985086E-2;-2.636053599E-3;1.640102386E0;1.641041582E0
1.676543458E0;5.633433908E-2;-1.159345265E-2;1.598905921E0;1.599940033E0
1.686531458E0;5.946834758E-2;1.142582856E-3;1.549242735E0;1.550384095E0
1.696519458E0;6.222935393E-2;3.656174988E-3;1.500204921E0;1.501499472E0
1.706508458E0;6.219473109E-2;-7.356262766E-3;1.453266501E0;1.454615352E0
1.716496458E0;6.069483981E-2;3.552577458E-3;1.398749113E0;1.400069843E0
1.726484458E0;6.418091804E-2;5.478841253E-3;1.337927580E0;1.339477292E0
1.736472458E0;6.673088670E-2;1.571261324E-3;1.276088119E0;1.277832683E0
1.746461458E0;6.407918036E-2;4.900746047E-3;1.222573996E0;1.224261955E0
1.756449458E0;6.763657928E-2;7.966051809E-3;1.155959368E0;1.157963827E0
1.766437458E0;6.633456051E-2;1.729461364E-3;1.085353374E0;1.087379976E0
1.776425458E0;6.217608601E-2;3.371367231E-3;1.016017437E0;1.017923702E0
1.786413458E0;6.271111965E-2;6.220151670E-3;9.513748288E-1;9.534597211E-1
1.796402458E0;5.693557113E-2;3.667161800E-3;8.769227266E-1;8.787767497E-1
1.806390458E0;5.241778493E-2;9.017985314E-3;8.006814718E-1;8.024461151E-1
1.816378458E0;4.389002547E-2;7.353440858E-3;7.257686257E-1;7.271316975E-1
1.826366458E0;3.464938700E-2;4.646424204E-4;6.484789252E-1;6.494041210E-1
1.836355458E0;2.585548162E-2;2.725574188E-3;5.724841952E-1;5.730742434E-1
