Temps	Mouvement X	Temps	Mouvement Y
0	-0.0253004151190736	0	0.0530745341614907
0.0333666	-0.01970723181123	0.0333666	0.0516770186335404
0.0667332	-0.00991916102250377	0.0667332	0.0516770186335404
0.1000998	-0.00152938606073842	0.1000998	0.0516770186335404
0.1334664	0.00825868472798782	0.1334664	0.0488819875776398
0.166833	0.0208433471706358	0.166833	0.0488819875776398
0.2001996	0.0334280096132839	0.2001996	0.0488819875776398
0.2335662	0.0474109678828928	0.2335662	0.0488819875776398
0.2669328	0.0613939261525017	0.2669328	0.0488819875776398
0.3002994	0.0781734760760324	0.3002994	0.0488819875776398
0.333666	0.0977496176534849	0.333666	0.0474844720496894
0.3670326	0.115927463403976	0.3670326	0.0474844720496894
0.4003992	0.134105309154468	0.4003992	0.0474844720496894
0.4337658	0.155079746558881	0.4337658	0.0474844720496894
0.4671324	0.176054183963295	0.4671324	0.0474844720496894
0.500499	0.198426917194669	0.500499	0.0474844720496894
0.5338656	0.219401354599082	0.5338656	0.0474844720496894
0.5672322	0.244570679484378	0.5672322	0.0460869565217391
0.6005988	0.266943412715753	0.6005988	0.0460869565217391
0.6339654	0.290714441774088	0.6339654	0.0460869565217391
0.667332	0.315883766659384	0.667332	0.0446894409937888
0.7006986	0.34105309154468	0.7006986	0.0446894409937888
0.7340652	0.369019008083898	0.7340652	0.0460869565217391
0.7674318	0.394188332969194	0.7674318	0.0446894409937888
0.8007984	0.422154249508412	0.8007984	0.0460869565217391
0.834165	0.452916757701551	0.834165	0.0446894409937888
0.8675316	0.480882674240769	0.8675316	0.0446894409937888
0.9008982	0.511645182433909	0.9008982	0.0418944099378882
0.9342648	0.542407690627048	0.9342648	0.0418944099378882
0.9676314	0.57596679047411	0.9676314	0.0390993788819876
1.000998	0.605331002840288	1.000998	0.0377018633540372
1.0343646	0.63889010268735	1.0343646	0.036304347826087
1.0677312	0.673847498361372	1.0677312	0.0377018633540372
1.1010978	0.706008302381473	1.1010978	0.0390993788819876
