Temps	Mouvement X	Temps	Mouvement Y
0	0.090928093645485	0	0.00316620267260581
0.066667	0.090928093645485	0.066667	-0.00445072383073495
0.133334	0.090928093645485	0.133334	-0.0104640868596882
0.200001	0.090928093645485	0.200001	-0.0156756681514476
0.266668	0.090928093645485	0.266668	-0.0200854677060134
0.333335	0.090928093645485	0.333335	-0.0236934855233853
0.400002	0.090928093645485	0.400002	-0.0273015033407572
0.466669	0.090928093645485	0.466669	-0.0301077394209354
0.533336	0.0905267558528428	0.533336	-0.0333148663697105
0.600003	0.0905267558528428	0.600003	-0.0357202115812918
0.66667	0.0905267558528428	0.66667	-0.038125556792873
0.733337	0.0905267558528428	0.733337	-0.0401300111358575
0.800004	0.0905267558528428	0.800004	-0.0425353563474387
0.866671	0.0905267558528428	0.866671	-0.0441389198218263
0.933338	0.0905267558528428	0.933338	-0.0461433741648107
1.000005	0.0905267558528428	1.000005	-0.0481478285077951
1.066672	0.0905267558528428	1.066672	-0.0497513919821826
1.133339	0.0901254180602007	1.133339	-0.0513549554565702
1.200006	0.0905267558528428	1.200006	-0.0529585189309577
1.266673	0.0901254180602007	1.266673	-0.0545620824053452
1.33334	0.0901254180602007	1.33334	-0.0557647550111358
1.400007	0.0897240802675585	1.400007	-0.0573683184855234
1.466674	0.0897240802675585	1.466674	-0.058570991091314
1.533341	0.0901254180602007	1.533341	-0.0597736636971047
1.600008	0.0901254180602007	1.600008	-0.0613772271714922
1.666675	0.0901254180602007	1.666675	-0.0629807906458797
1.733342	0.0901254180602007	1.733342	-0.0641834632516704
1.800009	0.0901254180602007	1.800009	-0.0649852449888641
