Temps	Mouvement X	Temps	Mouvement Y
0	0.000313613684960801	0	0.0621042024170287
0.066667	-0.0229508196721311	0.066667	0.0643824893205302
0.133334	-0.0425659301496793	0.133334	0.0666607762240316
0.200001	-0.0571632216678546	0.200001	0.0684834057468327
0.266668	-0.0630933713471133	0.266668	0.0698503778889335
0.333335	-0.0599002138275125	0.333335	0.068939063127533
0.400002	-0.048952245188881	0.400002	0.0671164336047318
0.466669	-0.0307056307911618	0.466669	0.0639268319398299
0.533336	-0.00789736279401282	0.533336	0.062559859797729
0.600003	0.0162794012829651	0.600003	0.0616485450363284
0.66667	0.039087669280114	0.66667	0.0630155171784293
0.733337	0.0582466143977192	0.733337	0.0648381467012304
0.800004	0.0705630791161796	0.800004	0.0666607762240316
0.866671	0.0760370634354953	0.866671	0.0680277483661324
0.933338	0.0733000712758375	0.933338	0.0675720909854321
1.000005	0.062352102637206	1.000005	0.0662051188433313
1.066672	0.0463863150392017	1.066672	0.0639268319398299
1.133339	0.0226657163221668	1.133339	0.062559859797729
1.200006	-0.00105488239486815	1.200006	0.062559859797729
1.266673	-0.025231646471846	1.266673	0.0643824893205302
1.33334	-0.0453029223093371	1.33334	0.0662051188433313
1.400007	-0.0580755523877406	1.400007	0.068939063127533
1.466674	-0.0630933713471133	1.466674	0.0693947205082332
1.533341	-0.0589878831076265	1.533341	0.068939063127533
1.600008	-0.0471275837491091	1.600008	0.0671164336047318
1.666675	-0.0288809693513899	1.666675	0.0648381467012304
1.733342	-0.00516037063435495	1.733342	0.0621042024170287
1.800009	0.018104062722737	1.800009	0.0621042024170287
1.866676	0.0413684960798289	1.866676	0.0630155171784293
1.933343	0.0596151104775481	1.933343	0.0648381467012304
2.00001	0.0714754098360656	2.00001	0.0671164336047318
2.066677	0.0751247327156094	2.066677	0.0684834057468327
2.133344	0.0719315751960085	2.133344	0.0675720909854321
2.200011	0.06143977191732	2.200011	0.065749461462631
2.266678	0.0431931575196008	2.266678	0.0639268319398299
2.333345	0.0208410548823949	2.333345	0.062559859797729
2.400012	-0.00424803991446898	2.400012	0.0630155171784293
2.466679	-0.026143977191732	2.466679	0.0643824893205302
2.533346	-0.0457590876692801	2.533346	0.0671164336047318
2.600013	-0.0580755523877406	2.600013	0.068939063127533
2.66668	-0.0626372059871703	2.66668	0.0693947205082332
2.733347	-0.0580755523877406	2.733347	0.0684834057468327
2.800014	-0.0448467569493942	2.800014	0.0666607762240316
2.866681	-0.025687811831789	2.866681	0.0639268319398299
2.933348	-0.00242337847469706	2.933348	0.062559859797729
3.000015	0.0212972202423378	3.000015	0.062559859797729
3.066682	0.0431931575196008	3.066682	0.0634711745591296
3.133349	0.0609836065573771	3.133349	0.065749461462631
3.200016	0.0719315751960085	3.200016	0.0671164336047318
3.266683	0.0751247327156094	3.266683	0.0680277483661324
3.33335	0.0705630791161796	3.33335	0.0675720909854321
3.400017	0.0591589451176051	3.400017	0.065749461462631
3.466684	0.040912330719886	3.466684	0.0639268319398299
3.533351	0.018104062722737	3.533351	0.0634711745591296
3.600018	-0.00561653599429794	3.600018	0.0630155171784293
3.666685	-0.0284248039914469	3.666685	0.0648381467012304
3.733352	-0.047583749109052	3.733352	0.0671164336047318
3.800019	-0.0594440484675695	3.800019	0.068939063127533
3.866686	-0.0626372059871703	3.866686	0.0698503778889335
3.933353	-0.0567070563079116	3.933353	0.068939063127533
4.00002	-0.0434782608695652	4.00002	0.0662051188433313
4.066687	-0.0238631503920171	4.066687	0.0634711745591296
4.133354	-0.000142551674982172	4.133354	0.062559859797729
4.200021	0.0226657163221668	4.200021	0.062559859797729
4.266688	0.0445616535994298	4.266688	0.0634711745591296
4.333355	0.061895937277263	4.333355	0.0662051188433313
4.400022	0.0723877405559515	4.400022	0.0671164336047318
