Temps;EA0;Temps;EA1
0;2,44724842347205;0;2,4713586922735
5E-5;2,41242276877165;5E-5;2,44645584374666
0,0001;2,43729823641479;0,0001;2,46637812256813
0,00015;2,46714879758656;0,00015;2,4863004013896
0,0002;2,4571986105293;0,0002;2,47633926197886
0,00025;2,4571986105293;0,00025;2,48131983168423
0,0003;2,46217370405793;0,0003;2,48131983168423
0,00035;2,45222351700068;0,00035;2,47633926197886
0,0004;2,4571986105293;0,0004;2,48131983168423
0,00045;2,40247258171439;0,00045;2,43649470433593
0,0005;2,44724842347205;0,0005;2,47633926197886
0,00055;2,45222351700068;0,00055;2,48131983168423
0,0006;2,4571986105293;0,0006;2,47633926197886
0,00065;2,4571986105293;0,00065;2,48131983168423
0,0007;2,45222351700068;0,0007;2,48131983168423
0,00075;2,44724842347205;0,00075;2,47633926197886
0,0008;2,48207407817245;0,0008;2,49626154080033
0,00085;2,45222351700068;0,00085;2,48131983168423
0,0009;2,44227332994342;0,0009;2,4713586922735
0,00095;2,45222351700068;0,00095;2,47633926197886
0,001;2,4571986105293;0,001;2,47633926197886
0,00105;2,44724842347205;0,00105;2,47633926197886
0,0011;2,4571986105293;0,0011;2,48131983168423
0,00115;2,45222351700068;0,00115;2,47633926197886
0,0012;2,44227332994342;0,0012;2,4713586922735
0,00125;2,51689973287284;0,00125;2,52116438932717
0,0013;2,44724842347205;0,0013;2,47633926197886
0,00135;2,4571986105293;0,00135;2,48131983168423
0,0014;2,44724842347205;0,0014;2,4713586922735
0,00145;2,4571986105293;0,00145;2,48131983168423
0,0015;2,45222351700068;0,0015;2,47633926197886
0,00155;2,43232314288616;0,00155;2,46139755286276
0,0016;2,44227332994342;0,0016;2,4713586922735
0,00165;2,44724842347205;0,00165;2,47633926197886
0,0017;2,4571986105293;0,0017;2,48131983168423
0,00175;2,45222351700068;0,00175;2,48131983168423
0,0018;2,45222351700068;0,0018;2,47633926197886
0,00185;2,4571986105293;0,00185;2,47633926197886
0,0019;2,45222351700068;0,0019;2,48131983168423
0,00195;2,45222351700068;0,00195;2,47633926197886
0,002;2,45222351700068;0,002;2,47633926197886
0,00205;2,45222351700068;0,00205;2,47633926197886
0,0021;2,46714879758656;0,0021;2,4863004013896
0,00215;2,4571986105293;0,00215;2,48131983168423
0,0022;2,44724842347205;0,0022;2,4713586922735
0,00225;2,45222351700068;0,00225;2,47633926197886
0,0023;2,44724842347205;0,0023;2,47633926197886
0,00235;2,4571986105293;0,00235;2,48131983168423
0,0024;2,4571986105293;0,0024;2,48131983168423
0,00245;2,44724842347205;0,00245;2,47633926197886
0,0025;2,45222351700068;0,0025;2,48131983168423
0,00255;2,45222351700068;0,00255;2,47633926197886
0,0026;2,45222351700068;0,0026;2,47633926197886
0,00265;2,45222351700068;0,00265;2,47633926197886
0,0027;2,48704917170107;0,0027;2,50622268021107
0,00275;2,4571986105293;0,00275;2,48131983168423
0,0028;2,45222351700068;0,0028;2,47633926197886
0,00285;2,44724842347205;0,00285;2,47633926197886
0,0029;2,44724842347205;0,0029;2,4713586922735
0,00295;2,44724842347205;0,00295;2,4713586922735
0,003;2,45222351700068;0,003;2,48131983168423
0,00305;2,44227332994342;0,00305;2,4713586922735
0,0031;2,45222351700068;0,0031;2,47633926197886
0,00315;2,45222351700068;0,00315;2,48131983168423
0,0032;2,44724842347205;0,0032;2,47633926197886
0,00325;2,4571986105293;0,00325;2,48131983168423
0,0033;2,47212389111519;0,0033;2,49128097109497
0,00335;2,44724842347205;0,00335;2,4713586922735
0,0034;2,4571986105293;0,0034;2,48131983168423
0,00345;2,45222351700068;0,00345;2,47633926197886
0,0035;2,45222351700068;0,0035;2,47633926197886
0,00355;2,44724842347205;0,00355;2,47633926197886
0,0036;2,45222351700068;0,0036;2,47633926197886
0,00365;2,42237295582891;0,00365;2,4564169831574
0,0037;2,45222351700068;0,0037;2,48131983168423
0,00375;2,45222351700068;0,00375;2,47633926197886
0,0038;2,4571986105293;0,0038;2,47633926197886
0,00385;2,4571986105293;0,00385;2,48131983168423
0,0039;2,46217370405793;0,0039;2,4863004013896
0,00395;2,45222351700068;0,00395;2,47633926197886
0,004;2,44724842347205;0,004;2,48131983168423
0,00405;2,4571986105293;0,00405;2,48131983168423
0,0041;2,45222351700068;0,0041;2,47633926197886
0,00415;2,46217370405793;0,00415;2,4863004013896
0,0042;2,45222351700068;0,0042;2,48131983168423
0,00425;2,43729823641479;0,00425;2,46637812256813
0,0043;2,45222351700068;0,0043;2,48131983168423
0,00435;2,45222351700068;0,00435;2,47633926197886
0,0044;2,44227332994342;0,0044;2,4713586922735
0,00445;2,44724842347205;0,00445;2,47633926197886
0,0045;2,45222351700068;0,0045;2,47633926197886
0,00455;2,45222351700068;0,00455;2,47633926197886
0,0046;2,45222351700068;0,0046;2,48131983168423
0,00465;2,43729823641479;0,00465;2,4713586922735
0,0047;2,44724842347205;0,0047;2,4713586922735
0,00475;2,45222351700068;0,00475;2,47633926197886
0,0048;2,44724842347205;0,0048;2,47633926197886
0,00485;2,37262202054262;0,00485;-2,50423044338822
0,0049;2,37759711407125;0,0049;-2,47932759486139
0,00495;2,33779636584222;0,00495;-2,48430816456676
0,005;2,26814505644143;0,005;-2,49924987368286
0,00505;2,23331940174103;0,00505;-2,49426930397749
0,0051;2,193518653512;0,0051;-2,48928873427212
0,00515;2,13879262469709;0,00515;-2,49426930397749
0,0052;2,09899187646806;0,0052;-2,48928873427212
0,00525;2,04924094118178;0,00525;-2,48928873427212
0,0053;1,9994900058955;0,0053;-2,49924987368286
0,00535;1,94476397708058;0,00535;-2,50423044338822
0,0054;1,91491341590881;0,0054;-2,49426930397749
0,00545;1,8601873870939;0,00545;-2,49924987368286
0,0055;1,8253617323935;0,0055;-2,49426930397749
0,00555;1,77561079710722;0,00555;-2,49426930397749
0,0056;1,74078514240682;0,0056;-2,49426930397749
0,00565;1,69600930064917;0,00565;-2,49426930397749
0,0057;1,65620855242014;0,0057;-2,49426930397749
0,00575;1,61143271066248;0,00575;-2,49426930397749
0,0058;1,5616817753762;0,0058;-2,49426930397749
0,00585;1,5268561206758;0,00585;-2,49426930397749
0,0059;1,4920304659754;0,0059;-2,49426930397749
0,00595;1,47213009186089;0,00595;-2,46936645545065
0,006;1,41242896951735;0,006;-2,49426930397749
0,00605;1,36267803423107;0,00605;-2,49924987368286
0,0061;1,32785237953067;0,0061;-2,49924987368286
0,00615;1,29302672483027;0,00615;-2,49426930397749
0,0062;1,24327578954399;0,0062;-2,49924987368286
0,00625;1,21840032190084;0,00625;-2,49426930397749
0,0063;1,16864938661456;0,0063;-2,50423044338822
0,00635;1,13879882544279;0,00635;-2,49426930397749
0,0064;1,10397317074239;0,0064;-2,49426930397749
0,00645;1,06914751604199;0,00645;-2,49924987368286
0,0065;1,0343218613416;0,0065;-2,49426930397749
0,00655;1,00944639369845;0,00655;-2,48928873427212
0,0066;0,95969545841217;0,0066;-2,49924987368286
0,00665;0,924869803711772;0,00665;-2,49924987368286
0,0067;0,890044149011374;0,0067;-2,49924987368286
0,00675;0,865168681368232;0,00675;-2,48928873427212
0,0068;0,84029321372509;0,0068;-2,48430816456676
0,00685;0,770641904324293;0,00685;-2,50921101309359
0,0069;0,825367933139205;0,0069;-2,44446360692382
0,00695;0,72089096903801;0,00695;-2,49924987368286
0,007;0,696015501394868;0,007;-2,49426930397749
0,00705;0,661189846694469;0,00705;-2,49924987368286
0,0071;0,636314379051328;0,0071;-2,49426930397749
0,00715;0,601488724350929;0,00715;-2,49924987368286
0,0072;0,566663069650531;0,0072;-2,49924987368286
0,00725;0,531837414950132;0,00725;-2,49924987368286
0,0073;0,506961947306991;0,0073;-2,49924987368286
