R = 500+50+2.84 ohm ; L = 11.26 mH ; C = 10.1 nF # Tension mesurées en CA EFF cyc
f (Hz)	e (V)	s (V)
1000	1.77	0.057
2000	1.77	0.116
5000	1.76	0.310
8000	1.75	0.585
10000	1.72	0.849
11000	1.70	1.01
12000	1.68	1.19
13000	1.65	1.35
13700	1.63	1.44
14000	1.62	1.47
14300	1.62	1.49
14500	1.62	1.50
14700	1.62	1.50
14800	1.62	1.50
14900	1.62	1.51
15000	1.62	1.50
15100	1.62	1.50
15200	1.62	1.50
15500	1.62	1.49
15700	1.62	1.48
16000	1.62	1.46
16500	1.63	1.41
17000	1.64	1.36
18000	1.66	1.25
20000	1.69	1.03
30000	1.75	0.514
50000	1.76	0.255
100000	1.76	0.085
