R = 5000+50+2.84 ohm ; L = 11.26 mH ; C = 10.1 nF # Tension mesurées en CA EFF cyc
f (Hz)	e (V)	s (V)
1000	1.77	0.535
2000	1.76	0.952
5000	1.75	1.52
8000	1.75	1.67
10000	1.75	1.71
12000	1.75	1.73
14000	1.75	1.74
15000	1.75	1.74
16000	1.75	1.74
17000	1.75	1.74
20000	1.75	1.73
30000	1.75	1.69
50000	1.75	1.48
100000	1.76	0.779
