R = 1000+50+2.84 ohm ; L = 11.26 mH ; C = 10.1 nF # Tension mesurées en CA EFF cyc
f (Hz)	e (V)	s (V)
1000	1.77	0.113
2000	1.76	0.227
5000	1.75	0.591
8000	1.74	1.00
10000	1.72	1.28
11000	1.71	1.40
12000	1.69	1.50
13000	1.69	1.57
14000	1.69	1.61
14700	1.68	1.62
14900	1.69	1.63
15100	1.69	1.62
15500	1.69	1.62
16000	1.69	1.61
16500	1.69	1.59
17000	1.69	1.57
18000	1.69	1.52
20000	1.70	1.40
30000	1.74	0.907
50000	1.76	0.492
100000	1.76	0.166
